OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ResultAttachedBinaryObjectFileTypeCode,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,MonitoringLocationCountryName,MonitoringLocationCountyName,MonitoringLocationCountryCode,MonitoringLocationStatePostalCode,MonitoringLocationCountyCode,MonitoringLocationHUCTwelveDigitCode,MonitoringLocationLatitudeMeasure,MonitoringLocationLongitudeMeasure,ActivityIdentifier,ActivityIdentifierUserSupplied,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivitySamplingComponentName,BiologicalActivityAssemblageSampledName,BiologicalActivityToxicityTestType,ActivityConductingOrganizationText,ActivityCommentText,ActivityLocationLatitudeMeasure,ActivityLocationLongitudeMeasure,ActivityLocationHorizontalCoordinateStandardizedDatumName,ActivityLocationSourceMapScale,ActivityLocationHorizontalAccuracyMeasureValue,ActivityLocationHorizontalAccuracyMeasureUnitCode,ActivityLocationHorizontalAccuracyMeasureCollectionMethodName,ActivityLocationDescriptionText,ActivityStartDate,ActivityStartTime,ActivityStartTimeZoneCode,ActivityEndDate,ActivityEndTime,ActivityEndTimeZoneCode,ActivityDepthHeightMeasureValue,ActivityDepthHeightMeasureUnitCode,ActivityDepthHeightMeasureAltitudeReferencePointText,ActivityDepthHeightMeasureRelativeDepthName,ActivityTopDepthHeightMeasureValue,ActivityTopDepthHeightMeasureUnitCode,ActivityBottomDepthHeightMeasureValue,ActivityBottomDepthHeightMeasureUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodIdentifierContext,SampleCollectionMethodName,SampleCollectionMethodDescriptionText,SampleCollectionMethodEquipmentName,SampleCollectionMethodEquipmentCommentText,SamplePreparationMethodIdentifier,SamplePreparationMethodIdentifierContext,SamplePreparationMethodName,SamplePreparationMethodQualifierTypeName,SamplePreparationMethodDescriptionText,SamplePreparationMethodSampleContainerLabelName,SamplePreparationMethodSampleContainerTypeName,SamplePreparationMethodSampleContainerColorName,SamplePreparationMethodChemicalPreservativeUsedName,SamplePreparationMethodThermalPreservativeUsedName,SamplePreparationMethodSampleTransportStorageDescription,HydrologicCondition,HydrologicEvent,DataLoggerLineName,ResultDetectionConditionText,CharacteristicName,CharacteristicNameUserSupplied,MethodSpeciationName,ResultSampleFractionText,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,SubjectTaxonomicNameUserSupplied,SubjectTaxonomicNameUserSuppliedReferenceText,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCount,GroupSummaryWeightMeasureValue,GroupSummaryWeightMeasureUnitCode,ResultDepthHeightMeasureValue,ResultDepthHeightMeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,ResultSamplingPointType,ResultSamplingPointPlaceInSeries,ResultSamplingPointCommentText,RecordIdentifierUserSupplied,ResultIdentifier,ResultMeasureValue,ResultMeasureUnitCode,ResultMeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,StatisticalNValueNumeric,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasureValue,DetectionQuantitationLimitMeasureUnitCode,DetectionQuantitationLimitMeasureCommentText,LaboratorySampleSplitRatio,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodName,ResultAnalyticalMethodDescriptionText,ComparableAnalyticalMethodIdentifier,ComparableAnalyticalMethodIdentifierContext,ComparableAnalyticalMethodModificationText,LaboratoryName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZoneCode,AnalysisEndDate,AnalysisEndTime,AnalysisEndTimeZoneCode,LaboratoryCommentText,PreparationStartDate,PreparationStartTime,PreparationStartTimeZoneCode,PreparationEndDate,PreparationEndTime,PreparationEndTimeZoneCode,SubstanceDilutionFactor,ProviderName
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,506288,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1987-02-17,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,506288,11.74,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,506630,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1988-06-06,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,506630,9.79,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,506673,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1988-08-08,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,506673,8.07,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194239,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-11-12,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194239,8.88,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194244,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-11-18,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194244,7.32,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194330,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-03-25,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,Not Reported,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194330,,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194458,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-09-15,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194458,8.39,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194018,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-06-11,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194018,7.61,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194051,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-06-25,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194051,9.02,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194098,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-07-16,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194098,7.38,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194101,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-07-23,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194101,10.04,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194106,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-07-31,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194106,8.66,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194138,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-08-27,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194138,10.3,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194256,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1985-12-09,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194256,10.74,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194301,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-02-10,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194301,13.52,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194311,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-02-24,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,Not Reported,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194311,,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194377,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-05-19,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194377,11.39,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194583,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-12-29,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194583,4.8,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194405,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-06-30,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194405,9.32,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
ARS,Agricultural Research Service,CEAP,Conservation Effects Assessment Program,,ARS-MSGC-MSGC_WQ_2-5,MSGC_WQ_2-5,Not Assigned,,,,US,,107,080302030403,34.2366284,-89.9093076,194410,,Field Msr/Obs,Water,,,,,,,,,,,,,,,1986-07-14,00:00:00,CST,,,,,,,,,,,,NSL_FM11,ARS Methods Catalog,Water Dissolved Oxygen,,,,,,,,,,,,,,,,,,,Dissolved oxygen,,,Total,,,,,,,,,,,,,,,,,,,194410,9.28,mg/L,,Final,,,Actual,,,,,,,,,,,Instrument Detection Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STEWARDS
